Year,Month,Day,Category,Material Type,Weight (lbs),Vendor,Date Updated,Cost,Notes
2022,aug,25,landfill,l-landfill,3860.0,mission trail,9/22/2022,1272.6,500 el camino real
2022,aug,29,landfill,l-landfill,6440.0,mission trail,9/22/2022,1347.4,500 el camino real
2022,jul,1,recycle,r-mixed recycling,3580.0,mission trail,9/22/2022,1569.08,500 el camino real
2022,jul,8,recycle,r-mixed recycling,6860.0,mission trail,9/22/2022,1588.76,500 el camino real
2022,jul,15,recycle,r-mixed recycling,5680.0,mission trail,9/22/2022,1581.68,500 el camino real
2022,jul,25,recycle,r-mixed recycling,10400.0,mission trail,9/22/2022,1610.0,500 el camino real
2022,aug,15,compost,c-foodscraps,72000.0,mission trail,9/22/2022,2968.78,500 el camino real
2022,aug,15,compost,c-organics,48600.0,mission trail,9/22/2022,6208.14,adjustment for mission trail organics (1/2 organics estimation based on 2016 estimates)
2022,aug,15,recycle,r-mixed recycling,262.0,mission trail,9/22/2022,154.44,500 el camino real
2022,aug,15,landfill,l-landfill,1656.0,mission trail,9/22/2022,829.71,500 el camino real
2022,sep,15,compost,c-foodscraps,72000.0,mission trail,9/22/2022,2968.78,recurring charges for september are on the weird combined on call/recurring invoice billed on the first of september covering august and september
2022,oct,15,compost,c-organics,48600.0,mission trail,9/22/2022,6208.14,adjustment for mission trail organics (1/2 organics estimation based on 2016 estimates)
2022,nov,15,recycle,r-mixed recycling,262.0,mission trail,9/22/2022,154.44,recurring charges for september are on the weird combined on call/recurring invoice billed on the first of september covering august and september
2022,dec,15,landfill,l-landfill,1656.0,mission trail,9/22/2022,829.71,recurring charges for september are on the weird combined on call/recurring invoice billed on the first of september covering august and september
2022,jul,14,recycle,r-metal,5300.0,sims,9/22/2022,1137.86,500 el camino real
2022,jul,19,recycle,r-metal,5240.0,sims,9/22/2022,1137.86,500 el camino real
2022,jul,22,recycle,r-metal,6000.0,sims,9/22/2022,1137.86,500 el camino real
2022,sep,1,recycle,r-metal,5280.0,sims,9/22/2022,1137.86,500 el camino real
2022,jul,26,recycle,r-metal,3820.0,sims,12/9/2022,1137.86,500 el camino real
2022,oct,11,recycle,r-metal,5180.0,sims,12/9/2022,1137.86,500 el camino real
2022,aug,5,recycle,r-metal,4000.0,sims,12/9/2022,1137.86,500 el camino real
2022,oct,5,recycle,r-metal,3420.0,sims,12/9/2022,1137.86,500 el camino real
2022,oct,13,recycle,r-metal,9680.0,sims,12/9/2022,1137.86,500 el camino real
2020,jan,15,recycle,r-e-waste,200.0,other,1/12/2023,1137.86,500 el camino real
2020,aug,15,recycle,r-e-waste,49.0,other,1/12/2023,1137.86,500 el camino real
2020,oct,15,recycle,r-e-waste,8107.0,other,1/12/2023,1137.86,500 el camino real
2020,dec,15,recycle,r-e-waste,80.0,other,1/12/2023,1137.86,500 el camino real
2022,dec,6,recycle,r-metal,9240.0,sims,1/12/2023,1137.86,500 el camino real
2022,may,6,compost,c-yardwaste,9960.0,mission trail,1/27/2023,952.16,500 el camino real
2022,may,12,compost,c-yardwaste,11660.0,mission trail,1/27/2023,992.09,500 el camino real
2022,may,23,compost,c-yardwaste,11060.0,mission trail,1/27/2023,978.0,500 el camino real
2022,may,2,landfill,l-landfill,13860.0,mission trail,1/27/2023,1454.26,500 el camino real
